,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,1.0,0.9206349206349206,0.8545454545454545,0.7818181818181819,0.6274509803921569,0.9565217391304348,0.85625,0.8568285460868581,0.8559520672564151
recall,1.0,0.9354838709677419,0.8103448275862069,0.7962962962962963,0.6274509803921569,0.9777777777777777,0.85625,0.85789229217003,0.85625
f1-score,1.0,0.9279999999999999,0.831858407079646,0.7889908256880734,0.6274509803921569,0.967032967032967,0.85625,0.8572221966988073,0.8559555491070592
support,50.0,62.0,58.0,54.0,51.0,45.0,0.85625,320.0,320.0
