,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9642857142857143,0.9767441860465116,0.8870967741935484,0.8076923076923077,0.7391304347826086,1.0,0.88125,0.8958249028334485,0.8896585186071959
recall,1.0,0.8936170212765957,0.859375,0.7924528301886793,0.8947368421052632,0.8444444444444444,0.88125,0.880771023002497,0.88125
f1-score,0.9818181818181818,0.9333333333333332,0.8730158730158729,0.7999999999999999,0.8095238095238095,0.9156626506024096,0.88125,0.8855589747156012,0.8828298149307185
support,54.0,47.0,64.0,53.0,57.0,45.0,0.88125,320.0,320.0
