,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9811320754716981,0.75,0.7611940298507462,0.7358490566037735,0.6724137931034483,1.0,0.8,0.8167648258382778,0.8102348006025502
recall,0.9629629629629629,0.8936170212765957,0.796875,0.7358490566037735,0.6842105263157895,0.7333333333333333,0.8,0.8011413167487426,0.8
f1-score,0.9719626168224299,0.8155339805825244,0.7786259541984732,0.7358490566037735,0.6782608695652174,0.846153846153846,0.8,0.8043977206543774,0.8012060378332269
support,54.0,47.0,64.0,53.0,57.0,45.0,0.8,320.0,320.0
