,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9473684210526315,0.9767441860465116,0.8870967741935484,0.7719298245614035,0.7619047619047619,1.0,0.878125,0.8908406612931428,0.8849372411241909
recall,1.0,0.8936170212765957,0.859375,0.8301886792452831,0.8421052631578947,0.8444444444444444,0.878125,0.8782884013540362,0.878125
f1-score,0.972972972972973,0.9333333333333332,0.8730158730158729,0.8,0.8,0.9156626506024096,0.878125,0.8824974716540982,0.8796407573666609
support,54.0,47.0,64.0,53.0,57.0,45.0,0.878125,320.0,320.0
