,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9803921568627451,0.835820895522388,0.7428571428571429,0.8378378378378378,0.7272727272727273,1.0,0.840625,0.8540301267254735,0.8476886562043496
recall,1.0,0.9032258064516129,0.896551724137931,0.5740740740740741,0.7843137254901961,0.8888888888888888,0.840625,0.8411757031737839,0.840625
f1-score,0.99009900990099,0.8682170542635659,0.8125,0.6813186813186813,0.7547169811320754,0.9411764705882353,0.840625,0.8413380328672581,0.8377941370775182
support,50.0,62.0,58.0,54.0,51.0,45.0,0.840625,320.0,320.0
