,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7796610169491526,0.32,0.4594594594594595,0.5833333333333334,0.35064935064935066,0.4931506849315068,0.4875,0.49770897422046706,0.4988830024883034
recall,0.8518518518518519,0.3404255319148936,0.265625,0.2641509433962264,0.47368421052631576,0.8,0.4875,0.4992895896148813,0.4875
f1-score,0.8141592920353983,0.32989690721649484,0.33663366336633666,0.36363636363636365,0.4029850746268657,0.6101694915254237,0.4875,0.4762467987344805,0.4709837953426093
support,54.0,47.0,64.0,53.0,57.0,45.0,0.4875,320.0,320.0
