,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9814814814814815,0.7192982456140351,0.8412698412698413,0.7647058823529411,0.65,1.0,0.8125,0.8261259084530499,0.8225865598432357
recall,0.9814814814814815,0.8723404255319149,0.828125,0.7358490566037735,0.6842105263157895,0.7777777777777778,0.8125,0.8132973779517895,0.8125
f1-score,0.9814814814814815,0.7884615384615385,0.8346456692913385,0.7499999999999999,0.6666666666666667,0.8750000000000001,0.8125,0.8160425593168376,0.8143750473198063
support,54.0,47.0,64.0,53.0,57.0,45.0,0.8125,320.0,320.0
