,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.8620689655172413,0.40540540540540543,0.6923076923076923,0.41935483870967744,0.47058823529411764,0.45,0.534375,0.5499541895390224,0.5600400198845469
recall,0.9259259259259259,0.6382978723404256,0.28125,0.24528301886792453,0.42105263157894735,0.8,0.534375,0.5519682414522039,0.534375
f1-score,0.8928571428571429,0.4958677685950413,0.4,0.30952380952380953,0.4444444444444444,0.5760000000000001,0.534375,0.5197821942367397,0.5149317689885871
support,54.0,47.0,64.0,53.0,57.0,45.0,0.534375,320.0,320.0
