,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.8653846153846154,0.8333333333333334,0.5344827586206896,0.5652173913043478,0.4791666666666667,0.5540540540540541,0.628125,0.6386064698939511,0.6432111531211395
recall,0.9,0.5645161290322581,0.5344827586206896,0.48148148148148145,0.45098039215686275,0.9111111111111111,0.628125,0.6404286454004006,0.628125
f1-score,0.8823529411764707,0.6730769230769231,0.5344827586206896,0.52,0.46464646464646464,0.6890756302521008,0.628125,0.6272724529621082,0.6238555917122094
support,50.0,62.0,58.0,54.0,51.0,45.0,0.628125,320.0,320.0
